question,sql
How many matches did Sunrisers Hyderabad win in 2018?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2018' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2019?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2019' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2020/21?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2020/21' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2021?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2021' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2022?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2022' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2023?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2023' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2024?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2024' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2025?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2025' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2009?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2009' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2010?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2010' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2011?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2011' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2012?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2012' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2013?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2013' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2014?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2014' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2015?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2015' GROUP BY t.team_name;"
How many matches did Sunrisers Hyderabad win in 2016?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Sunrisers Hyderabad' AND m.season = '2016' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2008?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2008' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2017?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2017' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2018?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2018' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2019?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2019' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2020/21?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2020/21' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2021?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2021' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2022?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2022' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2023?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2023' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2024?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2024' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2025?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2025' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2009?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2009' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2010?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2010' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2011?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2011' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2012?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2012' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2013?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2013' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2014?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2014' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2015?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2015' GROUP BY t.team_name;"
How many matches did Mumbai Indians win in 2016?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Mumbai Indians' AND m.season = '2016' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2008?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2008' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2017?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2017' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2018?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2018' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2019?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2019' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2020/21?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2020/21' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2021?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2021' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2022?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2022' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2023?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2023' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2024?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2024' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2025?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2025' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2009?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2009' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2010?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2010' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2011?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2011' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2012?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2012' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2013?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2013' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2014?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2014' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2015?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2015' GROUP BY t.team_name;"
How many matches did Rising Pune Supergiant win in 2016?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Rising Pune Supergiant' AND m.season = '2016' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2008?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2008' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2017?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2017' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2018?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2018' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2019?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2019' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2020/21?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2020/21' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2021?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2021' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2022?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2022' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2023?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2023' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2024?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2024' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2025?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2025' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2009?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2009' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2010?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2010' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2011?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2011' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2012?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2012' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2013?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2013' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2014?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2014' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2015?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2015' GROUP BY t.team_name;"
How many matches did Gujarat Lions win in 2016?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Gujarat Lions' AND m.season = '2016' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2008?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2008' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2017?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2017' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2018?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2018' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2019?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2019' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2020/21?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2020/21' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2021?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2021' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2022?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2022' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2023?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2023' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2024?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2024' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2025?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2025' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2009?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2009' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2010?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2010' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2011?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2011' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2012?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2012' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2013?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2013' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2014?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2014' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2015?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2015' GROUP BY t.team_name;"
How many matches did Kolkata Knight Riders win in 2016?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Kolkata Knight Riders' AND m.season = '2016' GROUP BY t.team_name;"
How many matches did Chennai Super Kings win in 2008?,"SELECT t.team_name, COUNT(*) as wins FROM matches m JOIN teams t ON m.match_winner = t.team_id WHERE m.result = 'win' AND t.team_name = 'Chennai Super Kings' AND m.season = '2008' GROUP BY t.team_name;"
